lambda_adv,adv_c,t_aae,t_sae,val_acc,val_f1,val_AAE_FPR,val_SAE_FPR,val_AAE_FNR,val_SAE_FNR,val_AAE_TPR,val_SAE_TPR,val_AAE_acc,val_SAE_acc,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_DIfav,val_DIunfav
0.0,0.5,0.4591836734693878,0.3285714285714286,0.8326661329063251,0.8415466262319939,0.22222222213991769,0.22278056951050618,0.07526881720025436,0.12756264236611475,0.9247311827459822,0.8724373576111062,0.9061032863849765,0.8175675675675675,0.0005583473705884912,0.0522938251658604,0.052293825134876015,0.32737449690853415,1.6778396140184961
0.0,1.0,0.4591836734693878,0.3285714285714286,0.8326661329063251,0.8415466262319939,0.22222222213991769,0.22278056951050618,0.07526881720025436,0.12756264236611475,0.9247311827459822,0.8724373576111062,0.9061032863849765,0.8175675675675675,0.0005583473705884912,0.0522938251658604,0.052293825134876015,0.32737449690853415,1.6778396140184961
0.0,2.0,0.4591836734693878,0.3285714285714286,0.8326661329063251,0.8415466262319939,0.22222222213991769,0.22278056951050618,0.07526881720025436,0.12756264236611475,0.9247311827459822,0.8724373576111062,0.9061032863849765,0.8175675675675675,0.0005583473705884912,0.0522938251658604,0.052293825134876015,0.32737449690853415,1.6778396140184961
0.05,0.5,0.3448979591836735,0.2306122448979592,0.8038430744595677,0.8275862068965517,0.3333333332098765,0.33333333332774984,0.048387096771592086,0.06378132118305738,0.9516129031746444,0.9362186787941635,0.9154929577464789,0.7808880308880309,1.178733222140238e-10,0.01539422441146529,0.015394224380480881,0.3082721607236438,1.4830754770055181
0.05,1.0,0.6551020408163265,0.44285714285714284,0.8438751000800641,0.8423605497170574,0.14814814809327845,0.14572864321363938,0.13440860214331135,0.17995444190934043,0.8655913978029252,0.8200455580678805,0.863849765258216,0.8397683397683398,0.002419504879639073,0.04554583976602908,0.04554583973504467,0.3963748465635839,1.795380744222508
0.05,2.0,0.6387755102040816,0.37755102040816324,0.8350680544435548,0.8385579937304075,0.18518518511659807,0.18592964823809163,0.118279569886114,0.15489749430171076,0.8817204300601226,0.8451025056755102,0.8732394366197183,0.8272200772200772,0.000744463121493566,0.03661792441559676,0.03661792438461242,0.3862985300890049,1.70537467357045
0.1,0.5,0.7204081632653062,0.44285714285714284,0.8366693354683747,0.8341463414634146,0.14814814809327845,0.14740368508965823,0.18279569891490344,0.1776765375813741,0.817204301031333,0.8223234623958469,0.8215962441314554,0.8397683397683398,0.000744463003620216,0.005119161333529326,0.005119161364513847,0.4722988615446372,1.6898898571782244
0.1,1.0,0.5408163265306123,0.44285714285714284,0.8486789431545236,0.8484362469927826,0.14814814809327845,0.14907872696567706,0.10215053762891663,0.17539863325340777,0.8978494623173199,0.8246013667238131,0.892018779342723,0.8397683397683398,0.000930578872398613,0.07324809562449114,0.07324809559350676,0.3491994641421172,1.8441647245091095
0.1,2.0,0.49183673469387756,0.2795918367346939,0.8238590872698158,0.8375184638109305,0.2592592591632373,0.25963149078292075,0.07526881720025436,0.10022779043051873,0.9247311827459822,0.8997722095467022,0.9014084507042254,0.8079150579150579,0.00037223161968347185,0.024958973230264372,0.024958973199279977,0.34026931788804365,1.5829619846940626
0.25,0.5,0.8020408163265307,0.5081632653061224,0.8310648518815053,0.820730671197961,0.11111111106995884,0.11055276381724367,0.26344086020089025,0.21184510250086913,0.7365591397453463,0.7881548974763518,0.755868544600939,0.8465250965250966,0.0005583472527151689,0.051595757700021116,0.051595757731005554,0.569008056039946,1.6527644417803657
0.25,1.0,0.4591836734693878,0.3448979591836735,0.8286629303442754,0.837138508371385,0.22222222213991769,0.22278056951050618,0.08602150537171926,0.13439635535001374,0.9139784945745173,0.8656036446272072,0.8967136150234741,0.8146718146718147,0.0005583473705884912,0.04837484997829447,0.04837484994731012,0.3440964392919978,1.6686891645181798
0.25,2.0,0.42653061224489797,0.3285714285714286,0.8398718975180144,0.8491704374057315,0.22222222213991769,0.22110552763448735,0.06451612902878945,0.11389521639831673,0.9354838709174471,0.8861047835789042,0.9154929577464789,0.8243243243243243,0.0011166945054303379,0.049379087369527286,0.049379087338542904,0.31166415344598153,1.6804087146592024
0.5,0.5,0.44285714285714284,0.29591836734693877,0.8182546036829463,0.8312267657992565,0.2592592591632373,0.2579564489069019,0.0698924731145219,0.12072892938221574,0.9301075268317146,0.8792710705950052,0.9061032863849765,0.8001930501930502,0.001302810256335385,0.05083645626769384,0.050836456236709404,0.3236029010100707,1.621283223981453
0.5,1.0,0.8183673469387756,0.5244897959183674,0.8302642113690952,0.8197278911564626,0.11111111106995884,0.11055276381724367,0.2473118279436929,0.22095671981273446,0.7526881720025436,0.7790432801644864,0.7699530516431925,0.8426640926640927,0.0005583472527151689,0.026355108130958455,0.026355108161942864,0.5421488502411035,1.7047316146345721
0.5,2.0,0.7857142857142857,0.6061224489795919,0.8262610088070457,0.8074534161490683,0.07407407404663922,0.07537688442084796,0.24193548385796046,0.28473804099579186,0.7580645160882761,0.7152619589814291,0.7793427230046949,0.8359073359073359,0.001302810374208735,0.042802557137831404,0.042802557106846995,0.5029091260826242,1.9374108533714445
