lambda_fairness,t_aae,t_sae,val_f1,val_score,test_accuracy,test_f1,test_fpr_AAE,test_fnr_AAE,test_fpr_SAE,test_fnr_SAE,test_fpr_gap,test_fnr_gap
0.0,0.2,0.44999999999999996,0.8675654242664552,0.13243457573354478,0.8350680544435548,0.8400621118012422,0.7407407407407407,0.016129032258064516,0.17224080267558528,0.182648401826484,0.5684999380651554,0.1665193695684195
0.25,0.6,0.37499999999999994,0.8551401869158879,0.11097130686314921,0.8190552441953562,0.8256172839506173,0.3333333333333333,0.13440860215053763,0.2140468227424749,0.1461187214611872,0.1192865105908584,0.01171011931064958
0.4,0.6,0.37499999999999994,0.8551401869158879,0.09063820313057148,0.8190552441953562,0.8256172839506173,0.3333333333333333,0.13440860215053763,0.2140468227424749,0.1461187214611872,0.1192865105908584,0.01171011931064958
0.5,0.725,0.42499999999999993,0.8514056224899599,0.07634446215907738,0.822257806244996,0.8232484076433121,0.18518518518518517,0.16129032258064516,0.18394648829431437,0.17579908675799086,0.0012386968908708051,0.014508764177345701
0.6,0.725,0.42499999999999993,0.8514056224899599,0.06189447908888483,0.822257806244996,0.8232484076433121,0.18518518518518517,0.16129032258064516,0.18394648829431437,0.17579908675799086,0.0012386968908708051,0.014508764177345701
0.7,0.725,0.42499999999999993,0.8514056224899599,0.047444496018692286,0.822257806244996,0.8232484076433121,0.18518518518518517,0.16129032258064516,0.18394648829431437,0.17579908675799086,0.0012386968908708051,0.014508764177345701
0.75,0.35,0.27499999999999997,0.8417954378219279,0.03983031419052584,0.7950360288230585,0.8168812589413448,0.5555555555555556,0.053763440860215055,0.31438127090301005,0.09817351598173515,0.24117428465254553,0.0444100751215201
0.85,0.35,0.27499999999999997,0.8417954378219279,0.024047081125519672,0.7950360288230585,0.8168812589413448,0.5555555555555556,0.053763440860215055,0.31438127090301005,0.09817351598173515,0.24117428465254553,0.0444100751215201
1.0,0.35,0.27499999999999997,0.8417954378219279,0.0003722315280104138,0.7950360288230585,0.8168812589413448,0.5555555555555556,0.053763440860215055,0.31438127090301005,0.09817351598173515,0.24117428465254553,0.0444100751215201
