lambda_adv,adv_c,val_acc,val_f1,val_FPR_gap,val_FNR_gap,val_DIfav,val_DIunfav
0.0,0.5,0.855084067253803,0.8507831821929102,0.11166945832267401,0.12582359712914987,0.2884013434723014,2.0777610125238883
0.0,1.0,0.855084067253803,0.8507831821929102,0.11166945832267401,0.12582359712914987,0.2884013434723014,2.0777610125238883
0.0,2.0,0.855084067253803,0.8507831821929102,0.11166945832267401,0.12582359712914987,0.2884013434723014,2.0777610125238883
0.05,0.5,0.8526821457165733,0.8494271685761048,0.1403312859658994,0.0883728904904557,0.31789867208643524,1.984542426485405
0.05,1.0,0.8502802241793435,0.8463434675431388,0.1032942489425798,0.12044725304341741,0.29858851047889373,2.041183903533627
0.05,2.0,0.8526821457165733,0.8489326765188834,0.14368136971793707,0.10823719597378595,0.2990716634003718,2.036300688574432
0.1,0.5,0.8542834267413931,0.8508196721311475,0.06625721191926018,0.09602713890415449,0.32531457912777784,1.9777355535108103
0.1,1.0,0.8430744595676541,0.8403908794788274,0.08654383018239137,0.1028608518880535,0.3210461836374425,1.9568511374806827
0.1,2.0,0.8462770216172938,0.8431372549019608,0.13195607658580516,0.12582359712914987,0.28517685438902857,2.0400506808430787
0.25,0.5,0.8534827862289832,0.8491343775762572,0.10999441644665517,0.08983025938862223,0.3300188800029878,1.994528271452859
0.25,1.0,0.844675740592474,0.8407224958949097,0.09659408143850443,0.08900972395882246,0.34118358298766943,1.954738628469987
0.25,2.0,0.8454763811048839,0.8419328419328419,0.13363111846182402,0.09210816371658857,0.32584613888859615,1.9730710829797091
0.5,0.5,0.8526821457165733,0.8496732026143791,0.06123208629120365,0.07844073774879055,0.34455607304201374,1.9273996273334186
0.5,1.0,0.8494795836669335,0.8474025974025974,0.08989391393442905,0.05857643226546032,0.3578752273641708,1.8766908467719665
0.5,2.0,0.8470776621297038,0.8435708435708436,0.09659408143850443,0.08983025938862223,0.334339912728451,1.9569842107877613
